                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.5489,                0.75679,                  1.105,                0.81856,                0.79245,                0.86097,                0.41182,                 1.6968,                0.76917,                 1.0452,               0.008449,               0.008449,               0.008449
                     49,                 1.5486,                0.76399,                 1.1121,                0.79448,                0.83019,                0.86176,                0.40668,                 1.7147,                 0.7422,                 1.0571,               0.008416,               0.008416,               0.008416
                     50,                  1.546,                0.74597,                 1.1071,                0.78219,                0.84906,                0.86412,                 0.3922,                 1.7255,                0.77247,                  1.052,               0.008383,               0.008383,               0.008383
                     51,                 1.5393,                0.74036,                 1.1023,                0.73791,                0.84906,                0.83166,                0.41353,                  1.742,                0.75861,                 1.0569,                0.00835,                0.00835,                0.00835
                     52,                 1.5424,                0.75442,                 1.1015,                0.79785,                0.79245,                0.83317,                0.37643,                 1.7711,                0.77248,                 1.0506,               0.008317,               0.008317,               0.008317
                     53,                 1.5251,                0.73415,                 1.1058,                0.85482,                0.77774,                0.85733,                0.40095,                 1.7712,                0.73919,                 1.0567,               0.008284,               0.008284,               0.008284
                     54,                 1.5308,                0.72863,                 1.1029,                0.75693,                0.88139,                0.87489,                0.43107,                 1.7598,                0.74991,                 1.0544,               0.008251,               0.008251,               0.008251
                     55,                 1.5412,                  0.744,                 1.1073,                0.80617,                0.86329,                0.88509,                0.41917,                 1.7821,                0.74629,                 1.0515,               0.008218,               0.008218,               0.008218
                     56,                 1.5359,                0.73725,                 1.1034,                0.84315,                0.83019,                0.88004,                0.41587,                 1.7305,                0.75108,                 1.0429,               0.008185,               0.008185,               0.008185
                     57,                 1.5286,                0.72537,                 1.0981,                0.75134,                0.88679,                0.87958,                 0.4145,                 1.7455,                 0.7382,                  1.043,               0.008152,               0.008152,               0.008152
                     58,                  1.525,                0.73582,                 1.0914,                0.81634,                0.84906,                0.85503,                0.41701,                 1.7382,                 0.7399,                  1.054,               0.008119,               0.008119,               0.008119
                     59,                 1.5486,                0.73867,                 1.1086,                0.84816,                0.79245,                0.86749,                0.43334,                 1.7451,                0.74712,                 1.0539,               0.008086,               0.008086,               0.008086
                     60,                 1.5268,                 0.7317,                 1.1031,                0.88373,                0.71702,                0.85923,                0.40431,                 1.7175,                0.77444,                 1.0401,               0.008053,               0.008053,               0.008053
                     61,                 1.5271,                0.72611,                 1.0963,                0.77013,                0.81132,                0.85096,                0.41012,                 1.7135,                 0.7337,                 1.0485,                0.00802,                0.00802,                0.00802
                     62,                  1.513,                 0.7192,                 1.0926,                0.83567,                0.76767,                 0.8243,                0.40018,                 1.7582,                0.74288,                 1.0529,               0.007987,               0.007987,               0.007987
                     63,                 1.5169,                0.71859,                 1.0985,                0.81176,                0.90566,                0.86571,                0.40556,                 1.7411,                0.70627,                 1.0557,               0.007954,               0.007954,               0.007954
                     64,                   1.53,                0.72214,                 1.0987,                0.75235,                0.86792,                0.83491,                0.38896,                 1.7628,                0.74463,                 1.0626,               0.007921,               0.007921,               0.007921
                     65,                 1.5088,                0.72104,                 1.0899,                0.77336,                0.88679,                0.87606,                0.40649,                 1.7652,                 0.7251,                 1.0465,               0.007888,               0.007888,               0.007888
                     66,                 1.5183,                0.71128,                 1.0961,                0.77789,                0.88679,                0.88292,                0.41575,                 1.7228,                0.72522,                 1.0413,               0.007855,               0.007855,               0.007855
                     67,                 1.5047,                0.71165,                 1.0992,                0.79398,                0.83019,                0.84657,                0.40066,                 1.6948,                0.75153,                 1.0302,               0.007822,               0.007822,               0.007822
                     68,                 1.5104,                 0.7102,                 1.0952,                0.79596,                0.79245,                0.88093,                0.41365,                  1.742,                0.72213,                 1.0391,               0.007789,               0.007789,               0.007789
                     69,                 1.4964,                0.71119,                   1.09,                0.82208,                 0.7847,                0.86448,                 0.3975,                 1.7172,                0.71154,                 1.0387,               0.007756,               0.007756,               0.007756
                     70,                  1.516,                0.70204,                 1.0943,                0.73841,                0.90541,                0.85817,                0.41073,                 1.7048,                 0.7348,                  1.035,               0.007723,               0.007723,               0.007723
                     71,                 1.5154,                0.71787,                  1.094,                 0.7781,                0.84906,                0.85176,                0.39155,                 1.7163,                0.70879,                 1.0411,                0.00769,                0.00769,                0.00769
                     72,                 1.4912,                0.70201,                 1.0856,                0.78086,                 0.8741,                0.87366,                0.42253,                 1.7056,                0.72264,                 1.0402,               0.007657,               0.007657,               0.007657
                     73,                 1.5074,                0.70149,                 1.0855,                 0.7728,                0.90566,                0.87363,                0.42765,                 1.6914,                0.73079,                 1.0365,               0.007624,               0.007624,               0.007624
                     74,                 1.4965,                0.69309,                 1.0929,                0.88544,                0.81132,                0.87743,                0.42212,                 1.7024,                0.71811,                 1.0335,               0.007591,               0.007591,               0.007591
                     75,                  1.495,                0.69612,                 1.0844,                 0.7699,                0.88386,                 0.8596,                0.43501,                 1.6874,                0.69642,                  1.037,               0.007558,               0.007558,               0.007558
                     76,                 1.4985,                0.69254,                 1.0853,                0.79907,                0.90048,                0.86827,                0.41559,                 1.7078,                0.71701,                 1.0402,               0.007525,               0.007525,               0.007525
                     77,                 1.4988,                0.70362,                 1.0863,                0.76271,                0.88679,                0.89243,                0.40763,                 1.6508,                0.72032,                 1.0279,               0.007492,               0.007492,               0.007492
                     78,                 1.4806,                0.69305,                 1.0872,                0.80007,                0.88679,                0.89085,                0.43635,                 1.6915,                 0.6996,                 1.0334,               0.007459,               0.007459,               0.007459
                     79,                 1.4885,                0.69063,                 1.0893,                 0.8044,                0.86792,                0.88552,                0.42788,                 1.7123,                0.73805,                 1.0334,               0.007426,               0.007426,               0.007426
                     80,                 1.4785,                0.69349,                 1.0838,                0.74231,                0.86792,                0.83854,                0.40031,                 1.7263,                0.76061,                 1.0429,               0.007393,               0.007393,               0.007393
                     81,                 1.4853,                0.68768,                 1.0823,                0.74944,                0.90566,                0.85554,                0.42194,                 1.6761,                0.69713,                 1.0286,                0.00736,                0.00736,                0.00736
                     82,                 1.4842,                0.68445,                 1.0816,                0.91271,                0.78916,                0.90088,                0.42832,                 1.6814,                0.69052,                  1.034,               0.007327,               0.007327,               0.007327
                     83,                  1.488,                0.69329,                 1.0787,                0.87069,                0.75472,                0.87651,                 0.4242,                 1.7014,                0.69804,                 1.0411,               0.007294,               0.007294,               0.007294
                     84,                 1.4793,                0.68266,                 1.0845,                0.76258,                 0.9091,                0.89502,                0.42406,                 1.7093,                0.70993,                 1.0363,               0.007261,               0.007261,               0.007261
                     85,                 1.4867,                 0.6899,                 1.0783,                0.82662,                0.88679,                0.89372,                0.42281,                 1.7115,                0.70369,                 1.0357,               0.007228,               0.007228,               0.007228
                     86,                 1.4593,                0.67951,                 1.0736,                0.78776,                 0.9434,                0.87548,                0.42378,                 1.7137,                0.70221,                 1.0433,               0.007195,               0.007195,               0.007195
                     87,                 1.4732,                  0.682,                 1.0719,                0.78776,                0.90566,                 0.8811,                0.42133,                 1.7028,                0.70039,                  1.037,               0.007162,               0.007162,               0.007162
                     88,                 1.4784,                0.68921,                 1.0821,                0.79826,                0.90566,                0.89325,                 0.4232,                 1.6909,                0.69971,                 1.0392,               0.007129,               0.007129,               0.007129
                     89,                 1.4769,                 0.6819,                 1.0821,                0.82644,                0.90566,                0.88986,                0.41207,                 1.6825,                0.70134,                 1.0276,               0.007096,               0.007096,               0.007096
                     90,                 1.4732,                0.67757,                 1.0733,                0.78073,                0.90566,                0.85547,                0.39885,                 1.7163,                0.68643,                 1.0334,               0.007063,               0.007063,               0.007063
                     91,                 1.4806,                0.67701,                 1.0832,                0.78398,                0.89022,                0.84307,                0.38765,                 1.7044,                0.69416,                 1.0349,                0.00703,                0.00703,                0.00703
                     92,                 1.4589,                 0.6693,                 1.0764,                 0.7599,                0.92453,                0.88175,                0.42121,                 1.7159,                0.71017,                 1.0377,               0.006997,               0.006997,               0.006997
                     93,                 1.4698,                0.67412,                 1.0745,                0.75073,                0.88679,                 0.8698,                0.42751,                 1.7089,                0.70555,                 1.0342,               0.006964,               0.006964,               0.006964
                     94,                 1.4796,                0.67554,                  1.085,                0.78592,                0.90051,                0.89045,                0.43377,                 1.6983,                0.69595,                 1.0326,               0.006931,               0.006931,               0.006931
                     95,                 1.4625,                 0.6644,                 1.0706,                0.92099,                0.75472,                0.88793,                0.42707,                  1.677,                0.70265,                 1.0301,               0.006898,               0.006898,               0.006898
                     96,                 1.4718,                0.67562,                 1.0726,                0.77836,                0.88679,                0.87459,                0.42469,                 1.6699,                0.68987,                 1.0305,               0.006865,               0.006865,               0.006865
                     97,                 1.4596,                 0.6667,                 1.0731,                0.80023,                0.92453,                0.89896,                0.42974,                 1.6901,                 0.7049,                 1.0325,               0.006832,               0.006832,               0.006832
                     98,                  1.473,                0.67111,                 1.0821,                0.78233,                0.88164,                0.87861,                  0.427,                 1.7159,                  0.705,                 1.0434,               0.006799,               0.006799,               0.006799
                     99,                 1.4723,                0.67406,                 1.0711,                0.80082,                0.91038,                0.90616,                0.44452,                 1.6532,                0.67137,                 1.0282,               0.006766,               0.006766,               0.006766
                    100,                 1.4624,                0.66779,                 1.0677,                0.76682,                0.90566,                0.87796,                0.43289,                 1.6722,                0.67942,                 1.0329,               0.006733,               0.006733,               0.006733
