                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4126,                0.64491,                 1.0405,                0.88624,                0.75472,                0.82167,                0.37681,                 1.8038,                0.74307,                 1.0715,               0.008482,               0.008482,               0.008482
                     48,                 1.4074,                0.64581,                  1.046,                 0.7892,                0.81132,                0.76741,                0.32791,                 1.8197,                0.77036,                 1.0826,               0.008449,               0.008449,               0.008449
                     49,                  1.396,                0.64517,                 1.0377,                0.80955,                0.83019,                0.83111,                0.37537,                 1.7934,                0.75093,                 1.0771,               0.008416,               0.008416,               0.008416
                     50,                 1.4047,                0.63867,                 1.0402,                0.78602,                0.90566,                0.82653,                0.37188,                  1.766,                0.76987,                 1.0513,               0.008383,               0.008383,               0.008383
                     51,                 1.3915,                0.63238,                 1.0472,                0.74911,                0.75472,                0.78638,                 0.3645,                 1.7902,                0.90145,                 1.0647,                0.00835,                0.00835,                0.00835
                     52,                 1.4065,                0.64657,                 1.0371,                0.79759,                0.79245,                0.82077,                0.40418,                 1.7184,                 0.7577,                 1.0521,               0.008317,               0.008317,               0.008317
                     53,                 1.3973,                0.64253,                 1.0453,                0.86294,                0.75472,                0.83683,                0.37552,                  1.761,                0.79927,                 1.0559,               0.008284,               0.008284,               0.008284
                     54,                  1.392,                0.63058,                 1.0511,                0.75194,                0.85798,                0.78666,                0.35841,                 1.7887,                 0.7847,                 1.0722,               0.008251,               0.008251,               0.008251
                     55,                 1.3838,                0.62633,                  1.038,                0.81458,                0.81132,                0.81957,                0.35596,                  1.841,                 0.7809,                 1.0734,               0.008218,               0.008218,               0.008218
                     56,                 1.3868,                0.62844,                 1.0356,                0.86638,                0.73403,                0.79531,                0.38671,                 1.7366,                0.75701,                 1.0588,               0.008185,               0.008185,               0.008185
                     57,                 1.3999,                0.64899,                 1.0295,                0.80132,                0.86792,                0.78983,                0.34713,                 1.8055,                0.74963,                 1.0659,               0.008152,               0.008152,               0.008152
                     58,                 1.3877,                0.63092,                 1.0321,                0.83333,                0.83019,                0.85482,                 0.3958,                 1.7587,                0.74038,                 1.0652,               0.008119,               0.008119,               0.008119
                     59,                 1.3902,                0.63163,                 1.0423,                0.73995,                0.81132,                0.75714,                0.34656,                 1.8431,                0.76209,                 1.0918,               0.008086,               0.008086,               0.008086
                     60,                 1.3923,                0.63494,                 1.0374,                0.77489,                0.84906,                0.84089,                0.39417,                 1.7513,                 0.7547,                 1.0534,               0.008053,               0.008053,               0.008053
                     61,                 1.4016,                0.63184,                 1.0415,                0.76019,                0.89724,                0.86244,                0.39005,                 1.8104,                0.73308,                 1.0621,                0.00802,                0.00802,                0.00802
                     62,                 1.3805,                0.62445,                 1.0303,                 0.8063,                0.86792,                0.82705,                0.35437,                 1.7691,                0.74536,                 1.0705,               0.007987,               0.007987,               0.007987
                     63,                 1.3827,                0.63706,                 1.0351,                0.77244,                0.88679,                0.84627,                0.38997,                 1.7617,                0.72801,                 1.0547,               0.007954,               0.007954,               0.007954
                     64,                 1.3914,                0.63645,                 1.0427,                0.76985,                0.90566,                0.86037,                0.39834,                 1.7406,                0.72478,                 1.0584,               0.007921,               0.007921,               0.007921
